
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      60000, Nsync-hyd:          0
Sync-Point 224, Time: 0.328125, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 225, Time: 0.32959, Systemstep: 0.00146484, Nsync-grv:      15742, Nsync-hyd:          0

Sync-Point 226, Time: 0.331055, Systemstep: 0.00146484, Nsync-grv:      32789, Nsync-hyd:          0

Sync-Point 227, Time: 0.33252, Systemstep: 0.00146484, Nsync-grv:      15739, Nsync-hyd:          0

Sync-Point 228, Time: 0.333984, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 229, Time: 0.335449, Systemstep: 0.00146484, Nsync-grv:      15741, Nsync-hyd:          0

Sync-Point 230, Time: 0.336914, Systemstep: 0.00146484, Nsync-grv:      32806, Nsync-hyd:          0

Sync-Point 231, Time: 0.338379, Systemstep: 0.00146484, Nsync-grv:      15739, Nsync-hyd:          0

Sync-Point 232, Time: 0.339844, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 233, Time: 0.341309, Systemstep: 0.00146484, Nsync-grv:      15725, Nsync-hyd:          0

Sync-Point 234, Time: 0.342773, Systemstep: 0.00146484, Nsync-grv:      32845, Nsync-hyd:          0

Sync-Point 235, Time: 0.344238, Systemstep: 0.00146484, Nsync-grv:      15722, Nsync-hyd:          0

Sync-Point 236, Time: 0.345703, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 237, Time: 0.347168, Systemstep: 0.00146484, Nsync-grv:      15732, Nsync-hyd:          0

Sync-Point 238, Time: 0.348633, Systemstep: 0.00146484, Nsync-grv:      32863, Nsync-hyd:          0

Sync-Point 239, Time: 0.350098, Systemstep: 0.00146484, Nsync-grv:      15744, Nsync-hyd:          0

Sync-Point 240, Time: 0.351562, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 241, Time: 0.353027, Systemstep: 0.00146484, Nsync-grv:      15765, Nsync-hyd:          0

Sync-Point 242, Time: 0.354492, Systemstep: 0.00146484, Nsync-grv:      32911, Nsync-hyd:          0

Sync-Point 243, Time: 0.355957, Systemstep: 0.00146484, Nsync-grv:      15772, Nsync-hyd:          0

Sync-Point 244, Time: 0.357422, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

