
Step(*): 0, t: 0, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step(*): 188, t: 0.275391, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 189, t: 0.276855, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 190, t: 0.27832, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 191, t: 0.279785, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 192, t: 0.28125, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 193, t: 0.282715, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 194, t: 0.28418, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 195, t: 0.285645, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 196, t: 0.287109, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 197, t: 0.288574, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 198, t: 0.290039, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 199, t: 0.291504, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 200, t: 0.292969, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 201, t: 0.294434, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 202, t: 0.295898, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 203, t: 0.297363, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 204, t: 0.298828, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 205, t: 0.300293, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 206, t: 0.301758, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 207, t: 0.303223, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 208, t: 0.304688, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 209, t: 0.306152, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 210, t: 0.307617, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 211, t: 0.309082, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 212, t: 0.310547, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 213, t: 0.312012, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 214, t: 0.313477, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 215, t: 0.314941, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 216, t: 0.316406, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 217, t: 0.317871, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 218, t: 0.319336, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 219, t: 0.320801, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 220, t: 0.322266, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 221, t: 0.32373, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 222, t: 0.325195, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 223, t: 0.32666, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 224, t: 0.328125, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 225, t: 0.32959, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 226, t: 0.331055, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 227, t: 0.33252, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 228, t: 0.333984, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 229, t: 0.335449, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 230, t: 0.336914, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 231, t: 0.338379, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 232, t: 0.339844, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 233, t: 0.341309, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 234, t: 0.342773, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 235, t: 0.344238, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 236, t: 0.345703, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 237, t: 0.347168, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 238, t: 0.348633, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 239, t: 0.350098, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

